Time,"temps$le rapport entre le temps et l’espace$le temps passe$Le temps semblait passer lentement.$avec le temps$",0
Be,"être$Les voitures ont été fabriquées au Japon.$On m’a donné deux brochures à lire.$(utilisé avec le participe présent dans les temps progressifs)$Je sors maintenant.$",0
Good,"bon/bonne$un bon livre$tissu de bonne qualité$Son discours était intéressant.$bon/bonne$",0
Year,"an$année$La semaine prochaine, ça fera exactement deux ans qu’il est mort.$J’ai voyagé pendant plusieurs années après l’université.$Qui sait ce qu’il fera dans cinq ans.$",0
Have,"avoir$Elle a visité le Japon.$Est-ce que tu as vu Kelly récemment ?$Il ne s’attendait à ce que je sois là.$devoir$",0
New,"nouveau$nouvel$nouvelle$Nous venons d’acheter une nouvelle voiture$Mon fils commence une nouvelle école cette semaine.$",0
People,"personnes$Combien de personnes avez-vous invitées à la soirée ?$gens$Les gens peuvent être avides et égoistes.$le peuple$",0
Do,"est-ce que …$ne … pas$Est-ce que tu aimes ma nouvelle robe ?$Est-ce qu’elle mange de la viande ?$Il n’a pas le moindre argent.$",0
Old,"vieux$vieil$vieille$un vieil homme$mon plus vieux frère$",0
Way,"méthode$manière$Est-ce que c’est la meilleure manière de le nettoyer ?$une nouvelle manière de cultiver le riz$une des manières dont il amène les gens à l’aider$",0
Say,"dire$Qu’est-ce que tu as dit ?$J’ai dit “Où es-tu ?”.$Comme je l’ai dit à Annie, je n’ai jamais été aussi furieux.$indiquer$",0
Great,"excellent/-ente$merveilleux/-euse$formidable$“Nous allons nous marier !” “C’est formidable !”$Ce serait merveilleux si vous pouviez venir à la soirée.$",0
Man,"homme$deux hommes dans une voiture$homme$l’avenir de l’homme$mec$",0
Get,"avoir$trouver$acheter$J’ai acheté quelques choses à l’épicerie.$J’ai eu trois lettres au courrier.$",0
High,"maximum$Il fera chaud aujourd’hui avec des maximales à 35°.$record historique$La Bourse a atteint un record historique aujourd’hui.$zone de haute pression$",0
Day,"jour$Nourris les poissons deux fois par jour.$Mel est parti le lendemain.$Je serai de retour dans quelques jours.$journée$",0
Make,"faire$fabriquer$une entreprise qui fabrique des voiliers de luxe$J’ai fait un gâteau.$Ma grand-mère me faisait des robes.$",0
Small,"petit/-ite$une petite maison / un petit arbre / une petite voiture$léger/-ère$un léger problème / une légère erreur$petit/-ite$",0
Thing,"chose$truc$C’est quoi, cette chose gluante sur la table ?$C’est quelque chose qui ressemble à une tasse à thé géante.$chose$",0
Go,"aller$Je vais au magasin.$Ils sont allés en vacances à la Jamaïque.$Le serpent est allé dans les buissons.$Nous sommes allés voir un film hier.$",0
Large,"grand/grande$une grande maison$la plus grande pizza que j’aie jamais vue$une grosse somme d’argent$en liberté$",0
Child,"enfant$26 enfants dans chaque classe$un environnement adapté aux enfants$enfant$J’ai trois grands enfants.$",0
See,"voir$Je l’ai vue dans le bus.$Je ne voyais rien à travers la fumée.$As-tu vu sa nouvelle voiture ?$voir$",0
Long,"long/longue$la longue autoroute s’étirant au devant d’eux$Cette corde-ci est plus longue que celle-là.$une longue file d’attente à l’extérieur du cinéma$long/longue$",0
Know,"connaître$savoir$Connaissez-vous son adresse ?$“Quand tombe son anniversaire ?” “Je ne sais pas.”$Nous le savons depuis deux semaines.$",0
Young,"jeune$un jeune garçon$J’étais trop jeune pour me le rappeler.$les jeunes$Les jeunes sont les plus menacés par la maladie.$",0
Government,"gouvernement$les gens employés par le gouvernement$un gouvernement nouvellement élu$le gouvernement fédéral/local$gouvernement$",0
Take,"emmener$emporter$Je lui ai apporté ce livre.$J’ai apporté ce livre pour lui.$Nous emmenons mes parents voir l’appartement.$",0
Right,"exact/exacte$juste$Je ne pense pas que nous allons dans la bonne direction.$Tu avais raison, son nom est Diana, pas Deb.$“La réponse est 5.” “C’est exact.”$",0
Work,"travailler$Je travaille pour une grande multinationale$Est-ce qu’il travaille dans la publicité ?$Pendant les vacances d’été, elle travaille comme maître-nageur.$fonctionner$",0
